				Km PROFAR	Kcat PROFAR	Km PRA	Kcat PRA					
Mutantes 2_1	HisA					3.04	0.76	0.25	0	0	0	Noda_García Tesis
Mutantes 2_2	HisA					4.6	0.0047	0.00102173913	0	0	0	Noda_García Tesis
Mutantes 2_3	HisA					22	0.27	0.01227272727	0	0	0	Noda_García Tesis
Mutantes 2_4	HisA					14.95	4.6	0.3076923077	0	0	0	Noda_García Tesis
Mutantes 2_5	HisA					5.6	1.18	0.2107142857	0	0	0	Noda_García Tesis
Mutantes 3_1	HisA					7.2	3.5	0.4861111111	0	0	0	Noda_García Tesis
Mutantes 3_2	TrpF					0	0	0	220	0.2	0.0009090909091	Noda_García Tesis
Mutantes 3_3	Promiscuous					4.5	0.22	0.04888888889	158.9	0.073	0.000459408433	Noda_García Tesis
Mutantes 3_4	Promiscuous					5.1	0.45	0.08823529412	206	0.072	0.0003495145631	Noda_García Tesis
Mutantes 3_5	Promiscuous					3.5	0.52	0.1485714286	128	0.066	0.000515625	Noda_García Tesis
Mutantes 3_6	Promiscuous					5.7	0.37	0.0649122807	317	0.11	0.0003470031546	Noda_García Tesis
Mutantes 4_1	Promiscuous					2.2	0.054	0.02454545455	141	0.087	0.0006170212766	Noda_García Tesis
Mutantes 4_2	Promiscuous					18.4	0.14	0.007608695652	199	0.098	0.0004924623116	Noda_García Tesis
Mutantes 4_3	Promiscuous					21.47	0.03	0.001397298556	193	0.102	0.0005284974093	Noda_García Tesis
Mutantes 4_4	Promiscuous					16.8	0.125	0.00744047619	191	0.106	0.000554973822	Noda_García Tesis
Mutantes 4_5	Promiscuous					0.6	0.013	0.02166666667	75	0.04	0.0005333333333	Noda_García Tesis
Mutantes 4_6	Promiscuous					4.94	0.39	0.07894736842	89	0.042	0.0004719101124	Noda_García Tesis
Mutantes 4_7	Promiscuous					17.2	0.42	0.02441860465	101	0.05	0.000495049505	Noda_García Tesis
Mutantes 4_8	Promiscuous					0.78	0.0078	0.01	184	0.156	0.000847826087	Noda_García Tesis
Mutantes 4_9	Promiscuous					6.3	0.43	0.06825396825	183	0.123	0.0006721311475	Noda_García Tesis
Mutantes 4_10						0	0	0	0	0	0	Noda_García Tesis
Mutantes 4_11	Promiscuous					5.8	0.0074	0.001275862069	302	0.1	0.0003311258278	Noda_García Tesis
Mutantes 4_12	Promiscuous					27.8	0.13	0.004676258993	136	0.064	0.0004705882353	Noda_García Tesis
Mutantes 4_13	Promiscuous					15.5	0.27	0.01741935484	132	0.084	0.0006363636364	Noda_García Tesis
Mutantes 5_1	Promiscuous					1.7	0.44	0.2588235294	251	0.044	0.0001752988048	Noda_García Tesis
Mutantes 5_2	Promiscuous					2.4	0.45	0.1875	202	0.052	0.0002574257426	Noda_García Tesis
Mutantes 5_3	Promiscuous					6.1	0.11	0.01803278689	359.3	0.059	0.0001642081826	Noda_García Tesis
Mutantes 5_4	Promiscuous					6.4	0.048	0.0075	437.4	0.044	0.0001005944216	Noda_García Tesis
Mutantes 5_5	Promiscuous					15.68	0.21	0.01339285714	195	0.082	0.0004205128205	Noda_García Tesis
Mutantes 5_6	Promiscuous					10.54	0.05	0.004743833017	321	0.094	0.000292834891	Noda_García Tesis
Mutantes 5_7	Promiscuous					9.03	0.35	0.03875968992	227	0.1	0.0004405286344	Noda_García Tesis
Mutantes 5_8	Promiscuous					8.28	0.055	0.006642512077	289	0.076	0.0002629757785	Noda_García Tesis
Mutantes 5_9	Promiscuous					15.5	0.49	0.03161290323	468	0.15	0.0003205128205	Noda_García Tesis
Mutantes 5_10	Promiscuous					10.9	0.55	0.0504587156	626	0.18	0.0002875399361	Noda_García Tesis
Mutantes 5_11	HisA					11.2	0.41	0.03660714286	0	0	0	Noda_García Tesis
Mutantes 5_12	HisA					5.3	0.28	0.05283018868	0	0	0	Noda_García Tesis
Mutantes 5_13	TrpF					0	0	0	214.2	0.64	0.002987861811	Noda_García Tesis
Mutantes 5_14	HisA					11.5	0.47	0.04086956522	0	0	0	Noda_García Tesis
Mutantes 5_15	TrpF					0	0	0	209	0.33	0.001578947368	Noda_García Tesis
Mutantes 5_16	Death					0	0	0	0	0	0	Noda_García Tesis
Mutantes 5_17	TrpF					0	0	0	255	0.1	0.0003921568627	Noda_García Tesis
Mutantes 5_18	HisA					20	0.3	0.015	0	0	0	Noda_García Tesis
Mutantes 6_1	Promiscuous					10.4	0.4	0.03846153846	293.3	0.087	0.0002966246164	Noda_García Tesis
Mutantes 6_2	Promiscuous					7.4	0.27	0.03648648649	135	0.067	0.0004962962963	Noda_García Tesis
Mutantes 6_3	Promiscuous					10.2	0.4	0.03921568627	111.5	0.037	0.000331838565	Noda_García Tesis
Mutantes 6_4	Promiscuous					3.6	0.3	0.08333333333	123.8	0.068	0.000549273021	Noda_García Tesis
Mutantes 6_5	Promiscuous					5.7	0.036	0.006315789474	140.2	0.057	0.0004065620542	Noda_García Tesis
Mutantes 6_6	Promiscuous					1.5	2	1.333333333	229	0.067	0.0002925764192	Noda_García Tesis
Mutantes 6_7	HisA					8.5	0.042	0.004941176471	0	0	0	Noda_García Tesis
Mutantes 6_8	HisA					4.8	0.095	0.01979166667	0	0	0	Noda_García Tesis
Mutantes 6_9	HisA					11.1	0.22	0.01981981982	0	0	0	Noda_García Tesis
Mutantes 6_10	HisA					8.5	0.54	0.06352941176	0	0	0	Noda_García Tesis
Mutantes 6_11	HisA					15.3	0.067	0.004379084967	0	0	0	Noda_García Tesis
Mutantes 6_12	HisA					7.6	0.33	0.04342105263	0	0	0	Noda_García Tesis
Mutantes 6_13	TrpF					0	0	0	237	0.11	0.0004641350211	Noda_García Tesis
Mutantes 6_14	TrpF					0	0	0	205	0.26	0.001268292683	Noda_García Tesis
Mutantes 6_15	TrpF					0	0	0	266	0.19	0.0007142857143	Noda_García Tesis
Mutantes 6_16	TrpF					0	0	0	203	0.18	0.0008866995074	Noda_García Tesis
Mutantes 6_17	HisA					8.8	0.2	0.02272727273	0	0	0	Noda_García Tesis
Mutantes 6_18	TrpF					0	0	0	0	0	0	Noda_García Tesis
Mutantes 7_1	Promiscuous					2.9	0.1	0.03448275862	233	0.049	0.0002103004292	Noda_García Tesis
Mutantes 7_2	Promiscuous					7.9	0.21	0.02658227848	247	0.063	0.0002550607287	Noda_García Tesis
Mutantes 7_3	Promiscuous					4.5	0.3	0.06666666667	294.4	0.08	0.0002717391304	Noda_García Tesis
Mutantes 7_4	Promiscuous					5.1	0.17	0.03333333333	238.7	0.037	0.000155006284	Noda_García Tesis
Mutantes 7_5	Promiscuous					6.05	0.34	0.05619834711	415.7	0.082	0.0001972576377	Noda_García Tesis
Mutantes 7_6	TrpF					0	0	0	551.6	0.2	0.0003625815809	Noda_García Tesis
Mutantes 7_7	HisA					24	0.014	0.0005833333333	0	0	0	Noda_García Tesis
Mutantes 7_8	HisA					4.2	0.047	0.01119047619	0	0	0	Noda_García Tesis
Mutantes 7_9	Death					0	0	0	0	0	0	Noda_García Tesis
Mutantes 7_10	HisA					11.7	0.18	0.01538461538	0	0	0	Noda_García Tesis
Mutantes 7_11	HisA					17.5	0.22	0.01257142857	0	0	0	Noda_García Tesis
Mutantes 7_12	HisA					19.2	0.033	0.00171875	0	0	0	Noda_García Tesis
Mutantes 7_13	TrpF					0	0	0	244	0.14	0.0005737704918	Noda_García Tesis
Mutantes 8_1	TrpF					0	0	0	250	0.078	0.000312	Noda_García Tesis
Mutantes 8_2	Promiscuous					0.8	0.0039	0.004875	143	0.1325	0.0009265734266	Noda_García Tesis
Mutantes 8_3	TrpF					0	0	0	122	0.07	0.0005737704918	Noda_García Tesis
Mutantes 8_4	Promiscuous					43	0.028	0.0006511627907	142	0.1228	0.0008647887324	Noda_García Tesis
Mutantes 8_5	Promiscuous					41.6	0.016	0.0003846153846	259	0.1742	0.0006725868726	Noda_García Tesis
Mutantes 8_6	TrpF					0	0	0	184	0.1192	0.000647826087	Noda_García Tesis
Mutantes 8_7	Promiscuous					26.6	0.0047	0.0001766917293	128	0.059	0.0004609375	Noda_García Tesis
Mutantes 8_8	Promiscuous					12.5	0.076	0.00608	175	0.054	0.0003085714286	Noda_García Tesis
Mutantes 9_1	Promiscuous					7.8	0.122	0.01564102564	196	0.92	0.004693877551	Noda_García Tesis
Mutantes 9_2	TrpF					0	0	0	220	0.37	0.001681818182	Noda_García Tesis
Mutantes 9_3	Promiscuous					8.2	0.11	0.01341463415	387	0.47	0.001214470284	Noda_García Tesis
Mutantes 9_4	Promiscuous					3.5	0.065	0.01857142857	180	0.16	0.0008888888889	Noda_García Tesis
Mutantes 10_1	Promiscuous					9.9	0.043	0.004343434343	50.4	0.11	0.002182539683	Noda_García Tesis
Mutantes 10_2	TrpF					0	0	0	110	0.51	0.004636363636	Noda_García Tesis
Mutantes 11	Death					0	0	0	0	0	0	Noda_García Tesis
